id,texto,fake
1,"Empréstimos aprovados ao Grupo EBX somaram R$ 10 bi, mas desembolsos foram de R$ 6 bi. Compromissos foram honrados",0
2,"Todos os financiamentos à exportação efetivamente realizados pelo #BNDES podem ser checados em http://www.bndes.gov.br/transparencia . Navegue por mapas, baixe planilhas e acesse PDFs dos contratos https://twitter.com/Presidente20181/status/1001088039551107072 …",0
3,"O BNDES apoia e financia o desenvolvimento do Brasil, seja para a pequena ou para a grande empresa, na cidade ou no campo. Estamos no país inteiro. Onde tem desenvolvimento, temBNDES: http://www.bndes.gov.br .",0
4,O BNDES divulga online informações individualizadas de todos os seus financiamentos contratados desde 2002. ,0
5,"O SCE é lastreado pelo Fundo de Garantia à Exportação (FGE). Ele funciona como todo seguro: cobra prêmios do país responsável pelo pagamento do empréstimo na medida do risco incorrido e, caso haja inadimplência do devedor, indeniza o financiador e busca recuperar o valor em atraso.",0
6,"As receitas do FGE são sempre transferidas para a conta única do Tesouro Nacional. Quando é necessário emitir alguma indenização por conta de um não pagamento ou atraso, os recursos também precisam vir do Orçamento Geral da União (OGU).",0
7,"Os recursos destinados pelo BNDES para financiar investimentos produtivos no Brasil é muitas vezes superior aos recursos que o Banco destina às exportações brasileiras de engenharia, que são equivocadamente classificadas como financiamentos a obras no exterior.",0
8,o BNDES não envia dinheiro a outros países,0
9,"o BNDES não financia todo o empreendimento, mas apenas a parte de bens e serviços brasileiros que são exportados para uso naquela obra",0
10,"o BNDES desembolsa recursos no Brasil, em Reais, à empresa brasileira exportadora à medida que as exportações são realizadas e comprovadas.",0
11,"Quem paga o financiamento ao BNDES, com juros, em dólar ou euro, é o país ou empresa que importa os bens e serviços do Brasil.",0
12,O BNDES não financia obras em países estrangeiros.,0
13,O que o Banco financia a exportação de bens e serviços brasileiros de engenharia para o exterior,0
14,"o BNDES desembolsa os recursos exclusivamente no Brasil, em Reais, para a empresa brasileira, à medida que as exportações vão sendo realizadas e comprovadas.",0
15,"O financiamento do BNDES não cobre, por exemplo, bens adquiridos no exterior ou gastos com mão de obra de trabalhadores dos países onde a obra é realizada.",0
16,Ele cobre exclusivamente os bens e serviços de origem brasileira utilizados na obra.,0
17,"Quando financia exportações brasileiras, o BNDES olha para a capacidade que cada operação tem de gerar emprego, renda e divisas para o Brasil.",0
18,"Os recursos destinados pelo BNDES para financiar investimentos produtivos no Brasil é muitas vezes superior aos recursos que o Banco destina às exportações brasileiras de engenharia, que são equivocadamente classificadas como financiamentos a obras no exterior.",0
19,"O BNDES financia exportações de empresas brasileiras para mais de 40 países. Essas exportações referem-se a bens e serviços de alto valor agregado, como aeronaves, ônibus, caminhões e bens e serviços de engenharia. ",0
20,O BNDES não tem contratos secretos.,0
21,Todas as operações de financiamento desde 2002 estão disponíveis para consulta individualizada na seção BNDES Transparente.,0
22,"Em maio de 2016, o BNDES suspendeu os desembolsos para exportações de bens e serviços de engenharia dessas empresas e estabeleceu critérios adicionais para que fossem retomadas. ",0
23,O Banco impôs como condição que a empreiteira brasileira e o governo ou empresa do país estrangeiro importador assinassem uma declaração (chamada “Termo de Compliance”) concordando com a aplicação de punições em caso descumprimento de finalidade do contrato e de aplicação dos recursos do financiamento.,0
24,"Os pré-requisitos para aprovação de um financiamento a exportação no BNDES passaram a incluir compromisso das partes (exportador e importador) com boas práticas de compliance, e outras exigência.",0
25,A Guiné Equatorial não teve dívida perdoada com o BNDES. O páis não é cliente do banco.,0
26,há envio de dinheiro do BNDES para o exterior.,1
27,"Usina Hidrelétrica de Tumarín, na Nicarágua teve financiamento do BNDES",1
28,Soterramento Ferrocarril Sarmiento na Argentina teve financiamento do BNDES,1
29,"Ponte sobre o Rio Orinoco, na Venezuela teve financiamento do BNDES",1
30,"Autopista Madén-Colón, no Panamá financiamento do BNDES",1
31,"Metrô da Cidade do Panamá, no Panamá teve financiamento do BNDES",1
32,"BRT da cidade de Maputo, em Moçambique teve financiamento do BNDES",1
33,"Estrada Hacia El Norte, na Bolívia teve financiamento do BNDES",1
34,Porto no Uruguai teve financiamento do BNDES,1
35,A Guiné Equatorial teve dívida perdoada com o BNDES.,1
36,O BNDES financiou exportação de serviços de engenharia pro Panamá.,1
38,"Todos os países que obtiveram empréstimos do BNDES, já anunciaram um gigantesco CALOTE. E quem vai pagar por isso?",1
39,"Estes ""empréstimos"", verdadeiras doações, não observaram qualquer cuidado, realizados com única finalidade, parte destes recursos, retornarem em forma de propina, para PT, ainda tiveram o cuidado de colocar clausula de sigilo, para dificultar analises pelas auditorias.",1
40,O BNDES financia mais obras fora do Brasil,1
41,"Bndes precisa ser fechado urgentemente. Robin hood ao contrário, pega imposto dos pobres e dá às empresas dos milionários",1
42,Firmo o compromisso de iniciar o meu mandato determinado a abrir a caixa preta do BNDES,1
43,"Da minha parte, vamos abrir todos os sigilos do BNDES, sem exceção. É o dinheiro do povo",1
44,Sempre achei um absurdo o governo do PT emprestar via BNDES dinheiro para Países alinhados ideologicamente ao comunismo. A imprensa nada falava. Era surda ou conivente??,1
45,"O povo espera por isso, presidente @jairbolsonaro ! Eu já estou preparando a CPI do BNDES. Estou ávida por saber esses números. Creio que além de mostrar a verdade ao povo temos que propor medidas de ressarcimento daquilo que foi tirado indevidamente da Nação. Farei isso",1
46,"Há dois anos uma fonte do TCU me informou que as negociatas do PT no BNDES passará de 1 Trilhão de reais. Não é uma caixa preta, é uma caixa de Pandora",1
47,"Lula alterou por decreto o estatuto do BNDES, e montou um esquema de corrupção sofisticado, para beneficiar países aliados do PT.",1
48,Como a JBS conseguiu tão rápido um empréstimo do BNDES... GLOBO... E outros: PAGAMENTO DE PROPINA. PURA CORRUPÇÃO.,1
49,"Preparem-se, a caixa preta do BNDES será aberta",1
50,"PORRA, PODEM GRITAR A VONTADE. A CAIXA PRETA É SÓ UM DOS ITENS QUE DEVEM SER VERIFICADOS. TEM MUITO MAIS PODRE, INCLUSIVE NO CORPORATIVISMO DOS SERVIDORES. OH, GENTE BOA DO BNDES! NÃO FALTA CAMARADAS QUE TÃO LÁ PARA FACILITAR PARA OS GRANDES LADRÕES DA NAÇÃO! PAU NO CU DE VOCÊS!",1
51,"#IoT SENAI, em parceria com o BNDES e a EMBRAPII, desenvolveram uma chamada especial: Pilotos IoT para Indústria",0
52,"Além de financiar o comunismo em outros países, o PT só liberava o dinheiro do BNDS para eles, se a empresa que fosse realizar o serviço fosse brasileira, quem será que era os proprietários dessas empresas???",1
53,"Quando o próprio BNDES fala que não vai abrir sigilo do banco , podem esperar , a coisa está muito mais feia que se imagina. Presidente @jairbolsonaro ,o senhor tem apoio do povo brasileiro para essa batalha !",1